brawler,inc_trophies,power,brawler_trophies,usage,win,usage_rate,win_rate,positive_inc_trophies
8-bit,-1.75,9.833333333333334,692.6666666666666,24,6.0,0.0005289139633286319,0.25,0.25
amber,1.837037037037037,9.85925925925926,838.3111111111111,135,71.0,0.0029751410437235544,0.5259259259259259,0.5259259259259259
barley,1.6515901060070672,9.969611307420495,834.1717314487632,1415,724.0,0.03118388575458392,0.511660777385159,0.511660777385159
bea,2.9635761589403975,9.994039735099339,889.6940397350993,1510,925.0,0.033277503526093086,0.6125827814569537,0.6125827814569537
belle,-0.5932203389830508,9.915254237288135,762.1864406779661,59,20.0,0.00130024682651622,0.3389830508474576,0.3389830508474576
bibi,1.2466001813236627,9.981867633726202,817.0507706255667,1103,530.0,0.024308004231311707,0.48050770625566636,0.48050770625566636
bo,-1.1764705882352942,9.926470588235293,708.3382352941177,68,20.0,0.001498589562764457,0.29411764705882354,0.29411764705882354
brock,-1.837837837837838,9.91891891891892,708.6216216216217,37,9.0,0.0008154090267983075,0.24324324324324326,0.24324324324324326
bull,2.702023726448011,9.988834612700629,850.1046755059316,1433,849.0,0.0315805712270804,0.592463363572924,0.592463363572924
buzz,1.7768762677484786,9.791075050709939,772.0223123732252,493,257.0,0.010864774330042314,0.5212981744421906,0.5212981744421906
byron,0.525,9.85,752.75,40,17.0,0.0008815232722143865,0.425,0.425
carl,-0.5245901639344263,9.852459016393443,740.7540983606557,61,21.0,0.0013443229901269394,0.3442622950819672,0.3442622950819672
colette,2.658280922431866,9.9958071278826,874.8071278825996,477,281.0,0.010512165021156558,0.589098532494759,0.589098532494759
colonel-ruffs,1.27,9.983846153846153,827.5707692307692,1300,627.0,0.02864950634696756,0.4823076923076923,0.4823076923076923
colt,2.15089986155976,9.96677434240886,862.8001845869866,2167,1192.0,0.047756523272214385,0.5500692201199815,0.5500692201199815
crow,1.3375,9.95,819.625,160,78.0,0.003526093088857546,0.4875,0.4875
darryl,1.9588235294117646,9.923529411764706,806.6411764705882,170,91.0,0.0037464739069111423,0.5352941176470588,0.5352941176470588
dynamike,-0.2176578786020846,9.89209074187615,756.8056407112201,1631,600.0,0.03594411142454161,0.3678724708767627,0.3678724708767627
edgar,-0.8330134357005758,9.81190019193858,737.6333973128599,521,167.0,0.011481840620592383,0.32053742802303264,0.32053742802303264
el-primo,1.8488074957410563,9.956984667802384,852.4574105621806,4696,2474.0,0.10349083215796898,0.5268313458262351,0.5268313458262351
emz,1.5069222577209798,9.912673056443024,862.5676251331204,939,470.0,0.02069375881523272,0.5005324813631523,0.5005324813631523
frank,2.7961547941828937,9.953167365048065,865.7860488045354,4057,2433.0,0.08940849788434414,0.5997042149371457,0.5997042149371457
gale,3.0532889258950875,9.987510407993339,867.0614071606994,4804,2976.0,0.10587094499294782,0.6194837635303914,0.6194837635303914
gene,-2.7966101694915255,9.677966101694915,770.6949152542373,59,10.0,0.00130024682651622,0.1694915254237288,0.1694915254237288
jacky,2.121160409556314,9.982935153583618,850.3310580204778,586,321.0,0.012914315937940762,0.5477815699658704,0.5477815699658704
jessie,-1.4979591836734694,9.914285714285715,734.869387755102,245,66.0,0.005399330042313117,0.2693877551020408,0.2693877551020408
leon,-1.4545454545454546,9.946969696969697,724.0681818181819,132,36.0,0.002909026798307475,0.2727272727272727,0.2727272727272727
lou,1.7294117647058824,9.952941176470588,791.9058823529411,85,44.0,0.0018732369534555711,0.5176470588235295,0.5176470588235295
max,-2.15625,9.84375,747.5625,32,7.0,0.0007052186177715092,0.21875,0.21875
mortis,-0.7118055555555556,9.993055555555555,763.9166666666666,288,95.0,0.006346967559943582,0.3298611111111111,0.3298611111111111
mr-p,-2.2142857142857144,9.976190476190476,705.4047619047619,42,9.0,0.0009255994358251058,0.21428571428571427,0.21428571428571427
nani,-1.75,9.625,756.75,8,2.0,0.0001763046544428773,0.25,0.25
nita,-0.6805111821086262,9.980830670926517,743.2523961661342,313,104.0,0.006897919605077574,0.33226837060702874,0.33226837060702874
pam,-1.0235294117647058,9.952941176470588,717.6117647058824,85,26.0,0.0018732369534555711,0.3058823529411765,0.3058823529411765
penny,-1.9272727272727272,9.981818181818182,716.8363636363637,165,39.0,0.003636283497884344,0.23636363636363636,0.23636363636363636
piper,-5.0,10.0,715.5384615384615,13,0.0,0.0002864950634696756,0.0,0.0
poco,2.3939232409381663,9.995735607675906,848.1417910447761,1876,1067.0,0.04134344146685472,0.5687633262260128,0.5687633262260128
rico,0.3289150711831124,9.971199476354116,806.3614792996236,6111,2505.0,0.1346747179125529,0.4099165439371625,0.4099165439371625
rosa,2.460227272727273,9.905303030303031,856.1950757575758,528,303.0,0.0116361071932299,0.5738636363636364,0.5738636363636364
sandy,-0.25217391304347825,9.943478260869565,772.3869565217391,230,84.0,0.005068758815232722,0.3652173913043478,0.3652173913043478
shelly,2.1301939058171744,9.988919667590027,849.4570637119114,361,198.0,0.007955747531734838,0.5484764542936288,0.5484764542936288
spike,-2.4838709677419355,9.983870967741936,744.758064516129,62,12.0,0.001366361071932299,0.1935483870967742,0.1935483870967742
sprout,-1.3990610328638498,9.89906103286385,764.9389671361503,426,118.0,0.009388222849083215,0.27699530516431925,0.27699530516431925
squeak,1.5822784810126582,9.936708860759493,681.7974683544304,79,40.0,0.0017410084626234132,0.5063291139240507,0.5063291139240507
stu,2.509025270758123,9.979542719614921,881.8772563176896,831,480.0,0.018313645980253878,0.5776173285198556,0.5776173285198556
surge,1.6292474200855775,9.959979864082557,831.2753586710295,3973,2026.0,0.08755729901269393,0.5099421092373522,0.5099421092373522
tara,-1.062857142857143,9.96,753.7771428571428,175,53.0,0.003856664315937941,0.3028571428571429,0.3028571428571429
tick,-1.3304157549234135,9.879649890590809,755.0510576221736,1371,387.0,0.030214210155148098,0.28227571115973743,0.28227571115973743
